Key,EN,RU,FR,DE,ES,IT
dialogs/3room/settle_2,In the middle of our design? What if you get sweaty?,,En plein milieu de notre aménagement? Et si vous transpirez?,"In der Mitte von unserem Design? Was ist, wenn du anfängst zu schwitzen?",¿En medio de la reforma? ¿Y si empiezas a sudar?,Nel bel mezzo del lavoro? E se sudi?
dialogs/3room/settle_3,I guess I’ll just have to work less hard.,,Je suppose que je vais devoir travailler moins dur.,"Ich schätze, ich werde einfach weniger hart arbeiten müssen.",Pues entonces tendré que trabajar más despacito...,Immagino che dovrò lavorare meno intensamente.
dialogs/3room/mirror_1,"Mirror, mirror, on the wall… who is the prettiest of them all? It said me!",,"Miroir, miroir, sur le mur… qui est la plus jolie de toutes? Il a dit que c’est moi!","Spieglein, Spieglein an der Wand, wer ist die Schönste im ganzen Land? Es hat gesagt, dass ich es bin!","Espejito, espejito, ¿quién es la más guapa del reino? ¡Yo! ¡Ha dicho que soy yo!","Specchio, specchio, sulla parete... chi è la più bella del reame? Ha detto me!"
dialogs/3room/mirror_2,I didn’t hear anything. You didn't even give it that much time to answer.,,Je n’ai rien entendu. Tu ne lui as même pas laissé assez de temps pour répondre.,Ich habe nichts gehört. Du hast ihm nicht einmal Zeit zum Antworten gegeben.,"Pues yo no he escuchado nada... Casi ni le has dado tiempo a que contestase, vamos.",Io non ho sentito niente. Non gli hai neppure dato il tempo di rispondere.
dialogs/3room/mirror_3,I agree with the mirror. Abby wins!,,Je suis d’accord avec le miroir. Abby gagne!,Ich stimme dem Spiegel zu. Abby hat gewonnen!,Yo estoy de acuerdo con el espejo. ¡Abby es la más guapa del reino!,Io concordo con lo specchio. Abby vince!
dialogs/3room/pictures_1,Do you have any interesting pictures of celebrities you’ve worked with?,,Avez-vous des photos intéressantes de célébrités avec lesquelles vous avez travaillé?,"Hast du irgendwelche interessanten Bilder von Berühmtheiten, mit denen du gearbeitet hast?",¿Tienes por ahí fotos con alguno de los famosos con los que trabajas?,Hai delle foto interessanti delle celebrità con cui hai lavorato?
dialogs/3room/pictures_2,"Oddly enough, I have thousands, but they are all pretty boring. It’s just their blank stare for make-up reference.",,"Curieusement, j’en ai des milliers, mais elles sont toutes assez ennuyeuses. C’est juste leur regard vide en ce qui concerne les références de maquillage.","Seltsamerweise habe ich Tausende, aber die sind alle ziemlich langweilig. Es ist nur deren ausdrucksloses Starren als Make-up-Referenz.","Pues la cosa es que tengo muchas, miles, diría, pero todas aburridísimas. Solo miran a la cámara fijamente, porque son las fotos que usamos como referencia.","A dire il vero ne ho a migliaia, ma sono piuttosto noiose. Giusto i loro sguardi vuoti per lo studio del trucco."
dialogs/3room/pictures_3,They must mean something to you for you to keep them. I’m sure they are good memories.,,Elles doivent avoir de l’importance pour vous pour que vous les gardiez. Je suis sûr que ce sont de bons souvenirs.,"Sie müssen dir etwas bedeuten, wenn du sie behältst. Ich bin mir sicher, das sind gute Erinnerungen.","Bueno, tienen que significar algo para ti, si las sigues conservando. Seguro que te traen buenos recuerdos.",Se le tieni devono essere piuttosto importanti per te. Sono certo che saranno dei bei ricordi.
dialogs/3room/dressing_table_1,I’m so excited to get ready for work here every morning. Doing my make-up when I wake up is my yoga.,,J’ai tellement hâte de me préparer ici tous les matins pour ma journée de travail. Faire mon maquillage au réveil est mon yoga.,"Ich bin so aufgeregt, mich hier jeden Morgen für die Arbeit fertig zu machen. Mein Make-up zu machen, wenn ich aufwache, ist mein persönliches Yoga.","Así sí que dan ganas de preparate por la mañana antes de salir a trabajar. Para mí, maquillarme cuando me levanto es como hacer yoga.",Sono super emozionata all'idea di prepararmi qui ogni mattina. Truccarmi appena mi sveglio è il mio yoga.
dialogs/3room/dressing_table_2,My yoga is sleeping in.,,Mon yoga est endormi.,Mein persönliches Yoga ist Ausschlafen.,"Pues para mí, dormir es mi yoga.",Il mio yoga è andare a dormire.
dialogs/3room/dressing_table_3,We can’t just call everything our yoga.,,Nous ne pouvons pas simplement tout désigner par notre yoga.,Wir können nicht einfach alles unser persönliches Yoga nennen.,"Pero bueno, no podemos ir por ahí diciendo que esto o lo otro es nuestro yoga.",Non è che tutto può essere chiamato yoga.
dialogs/3room/stool_1,I’m sure you work on your feet all day. Are you dying to sit down after a long day?,,Je suis sûr que vous travaillez debout toute la journée. Êtes-vous impatiente de vous asseoir après une longue journée?,"Du arbeitest sicherlich den ganzen Tag auf deinen Füßen. Kannst du es gar nicht erst abwarten, dich nach einem langen Tag hinzusetzen?",Seguro que estás todo el día de pie de aquí para allá. ¿No te mueres por sentarte después de un día de curro duro?,Immagino che lavori in piedi tutto il giorno. Non muori dalla voglia di sederti dopo una lunga giornata?
dialogs/3room/stool_2,Definitely.,,Absolument.,Absolut.,Total.,Assolutamente.
dialogs/3room/stool_3,I was talking to Evelyn.,,Je parlais à Evelyn.,Ich habe mit Evelyn geredet.,Se lo decía a Evelyn.,Stavo dicendo a Evelyn.
dialogs/3room/pet_bed_1,"My cat is my world. She’s going to love this little bed so much, even though I know she’ll try sleeping with me.",,"Mon chat est mon monde. Elle va adorer ce petit lit, même si je sais qu’elle essaiera de dormir à côté de moi.","Meine Katze ist mein Ein und Alles. Sie wird dieses kleine Bettchen so sehr lieben, auch wenn ich weiß, dass sie versuchen wird, bei mir zu schlafen.","¿Sabéis una cosa? Mi mundo gira alrededor de mi gata. Y esta camita nueva le va a encantar, aunque sé que va a intentar meterse en la mía...","Il mio gatto è il mio mondo. Sono sicura che adorerà questo lettino, anche se tenterà sicuramente di dormire con me."
dialogs/3room/pet_bed_2,"Our pets tend to do that, don’t they? You really have to put your foot down or else they run the house.",,"Nos animaux de compagnie ont tendance à faire cela, n’est-ce pas? Il faut vraiment faire acte d’autorité, sinon ils prennent le contrôle de la maison.","Unsere Haustiere neigen dazu, das zu machen, nicht wahr? Man muss da echt ein Machtwort sprechen, sonst regieren sie das Haus.","A las mascotas les encanta eso, ¿verdad? Hay que tener brazo firme o se adueñan de la casa.","Gli animali domestici lo fanno, no? Bisogna fargli capire chi comanda o diventano i padroni della casa."
dialogs/3room/pet_bed_3,Our pets deserve their own beds even if they aren’t going to use them.,,"Nos animaux de compagnie méritent d’avoir leur propre lit, même s’ils ne les utilisent pas.","Unsere Haustiere verdienen ihr eigenes Bett, auch wenn sie es nicht benutzen.","Incluso si no las usan, las mascotas se merecen su propia camita. Es la ley.","I nostri animali si meritano un letto, anche se non lo useranno."
dialogs/3room/ceiling_1,You even redesigned the ceiling? I probably wouldn’t have even noticed! I’m such a doof.,,Vous avez même réaménagé le plafond? Je ne l’aurais probablement même pas remarqué! Je suis tellement distraite.,Ihr habt sogar die Decke neu gestaltet? Ich hätte es wahrscheinlich nicht einmal bemerkt! Ich bin so ein Trottel.,"¿También habéis redecorado el techo? ¡Si no me lo decís, no sé si me habría dado cuenta! Soy despistadísima.",Rifate anche il soffitto? Non ci avrei mai pensato! Che tonta che sono.
dialogs/3room/ceiling_2,It’s all about the details. I’m sure you know all the details when it comes to your field.,,Tout est question de détails. Je suis sûr que vous connaissez tous les détails concernant votre domaine.,"Es kommt auf die Details an. Ich bin mir sicher, dass du alle Details kennst, wenn es um dein Fachgebiet geht.","La gracia está en los detalles. Pero bueno, qué te voy a decir a ti, que tu trabajo está cien por cien en los detalles.",È tutta una questione di dettagli. Proprio come fai tu nel tuo lavoro.
dialogs/3room/ceiling_3,True. You probably wouldn't even be able to name all the make-up I’m wearing on my face.,,C’est vrai. Vous ne pourriez probablement même pas nommer tous les produits de maquillage que je porte sur mon visage.,"Stimmt. Du wärst wahrscheinlich nicht einmal in der Lage, all das Make-up aufzuzählen, das ich im Gesicht trage.",Cierto. Seguramente no sabría decirte todos los detallitos del maquillaje que llevo ahora mismo.,Vero. Non potete neppure immaginare quanti elementi ci sono nel mio trucco di oggi.
dialogs/3room/ceiling_4,I thought you weren’t wearing any.,,Je pensais que vous n’en portiez pas.,"Ich dachte, du trägst kein Make-up.",Y yo que pensaba que no estabas ni maquillada.,Credevo che non ne avessi.
dialogs/3room/coffee_table_1,"I gotta know, Evelyn. What’s your morning drink of choice? Coffee, tea, diet soda?",,"Je dois savoir, Evelyn. Quelle est votre boisson matinale préférée? Café, thé, soda light?","Eines muss ich unbedingt wissen, Evelyn. Was ist dein bevorzugtes Morgengetränk? Kaffee, Tee, Diät-Soda?","Me tienes que contar tus secretos, Evelyn. ¿Qué sueles beber por las mañanas? ¿Café, té, refresco light?","Devo chiedertelo, Evelyn. Cosa preferisci bere la mattina? Caffè, tè, una bibita dietetica?"
dialogs/3room/coffee_table_2,Boba tea!,,Le thé aux perles!,Boba-Tee!,¡Té de burbujas!,Il bubble tea!
dialogs/3room/coffee_table_3,I never thought of that! I’m gonna have boba tea tomorrow morning!,,Je n’y avais jamais pensé! Je vais prendre du thé aux perles demain matin!,Darauf wäre ich nie gekommen! Ich werde morgen früh einen Boba-Tee trinken!,"¡Ay, no lo habría adivinado! ¡Mañana mismo te copio!",Ma dai! Domani mattina ne prenderò uno anche io!
dialogs/3room/table_decor1_1,"Sorry to say, but this table will probably get covered in make-up brushes.",,"Désolée de le dire, mais cette table sera probablement couverte de pinceaux de maquillage.","Es tut mir leid, das zu sagen, aber dieser Tisch wird wahrscheinlich mit Schminkpinseln bedeckt werden.","Lo siento, pero me da a mí que esta mesa va a terminar llena de pinceles y brochas de maquillaje.","Mi spiace dirvelo, ma questo tavolino sarà sommerso dai pennelli per il trucco."
dialogs/3room/table_decor1_2,"It’s yours to do with as you wish. Maybe just snap a photo of what it did look like, would you?",,"C’est à vous d’en faire ce que vous voulez. Peut-être juste prendre une photo de ce à quoi ça ressemblait, voulez-vous?","Du kannst damit machen, was du willst. Mache vielleicht einfach ein Foto davon, wie es vorher ausgesehen hat, okay?","Es tuya, así que puedes hacer con ella lo que quieras. Podrías hacer una foto de cómo era antes, eso sí.","È tuo, e puoi farci quello che vuoi. Magari ti scatto una foto, così vedrai sempre come era all'inizio?"
dialogs/3room/table_decor1_3,Trust me. We’re taking tons of pics once we’re done.,,Croyez-moi. Nous prenons des tonnes de photos après avoir terminé.,"Glaube mir. Wir werden tonnenweise Fotos machen, sobald wir fertig sind.",Una cosa te digo. En cuanto terminemos le sacaremos fotos a todo.,"Credimi, a lavori finiti, fotograferò tutto."
dialogs/3room/table_decor2_1,You two work hard. You should become set designers for TV shows.,,Vous travaillez dur tous les deux. Vous devriez devenir des décorateurs pour émissions télévisées.,Ihr zwei arbeitet hart. Ihr solltet Bühnenbildner für Fernsehsendungen werden.,"Ay, trabajáis súper duro. Deberíais ser diseñadores de decorado para la tele.",Voi due lavorato sodo. Dovreste fare le scenografie degli spettacoli televisivi.
dialogs/3room/table_decor2_2,"We should! Let’s do it, Danny. Then we can all work together.",,"Nous devrions! Faisons-le, Danny. Ainsi, nous pourrons tous travailler ensemble.","Das sollten wir! Komm schon, Danny. Dann können wir alle zusammen arbeiten.","¡Pues no estaría mal! Venga, Danny, hagámoslo. Así podríamos trabajar juntos los tres.","Magari! Facciamolo, Danny. Così potremmo lavorare tutti insieme."
dialogs/3room/table_decor2_3,Ready to throw away our business that quickly for show business? Wow. Fame really does change people.,,Prête à jeter notre entreprise aussi vite au profit de l’industrie du spectacle? Waouh. La renommée change vraiment les gens.,"Bist du so schnell dazu bereit, unser Unternehmen für Showbusiness aufzugeben? Wow. Ruhm verändert die Menschen wirklich.","¿Con lo que nos ha costado que el negocio vaya bien, y tú quieres irte a las primeras de cambio? ¡Hala! La verdad es que la fama sí que cambia a las personas.",Sei pronta a liquidare la nostra azienda per lo show biz? Uau. La fama cambia davvero le persone.
dialogs/3room/sofa1_1,"What’s the official name for this because I call it “my diary writing area?”,",,Quel en est le nom officiel parce que je l’appelle « ma zone de tenue de journal? »,"Wie lautet der offizielle Name für das hier, weil ich nenne ihn „mein Tagebuch-Schreibbereich""?","¿Cuál es el nombre oficial de esta zona? Porque en mi cabeza se llama ""mi sitio para escribir el diario"".",Voi specialisti come lo chiamate? Io «il punto del diario».
dialogs/3room/sofa1_2,That’s exactly what it is!,,C’est exactement ça!,Genau das ist es auch!,¡Pues es justo eso!,È esattamente quello lì!
dialogs/3room/sofa1_3,"Actually, we just call it a window sofa.",,"En fait, nous l’appelons simplement un canapé de fenêtre.",Eigentlich nennen wir es einfach ein Fenstersofa.,"Bueno, la verdad es que lo llamamos ""sofá ventana"".","A dire il vero, noi lo chiamiamo «divano alla finestra»."
dialogs/3room/carpet_1,"I always say, if you don’t have carpet under your bed, you’re not living.",,Je dis toujours qu’on ne vit pas si on n’a pas de tapis sous son lit.,"Ich sage immer, wenn man keinen Teppich unter dem Bett hat, lebt man nicht wirklich.","Siempre he dicho que si no tienes una alfombrita bajo la cama, algo estás haciendo mal.",Dico sempre: «non è vita senza un tappeto sotto il letto».
dialogs/3room/carpet_2,You always say that?,,Vous dites toujours ça?,Sagst du das wirklich immer?,¿Siempre has dicho eso?,Dici sempre così?
dialogs/3room/carpet_3,Actually… this is the first time I think I've ever said it.,,"En fait… c’est la première fois, je crois, que je le dis.","Wenn ich ehrlich bin ... war das gerade, glaube ich, das erste Mal, dass ich das gesagt habe.",Bueno... La verdad es que es la primera vez que lo digo.,A dire il vero... forse è la prima volta che lo dico.
dialogs/4room/start_1,You’ve finally arrived! Now the party can really get started. What are ya’ll drinking? Champagne? Wine?,,"Vous êtes enfin arrivés! Maintenant, la fête peut vraiment commencer. Que buvez-vous? Du champagne? Du vin?",Ihr seid endlich hier! Jetzt kann die Party richtig losgehen. Was wollt ihr trinken? Champagner? Wein?,¡Por fin estáis aquí! ¡Que empiece la fiesta! ¿Qué queréis de beber? ¿Champán? ¿Vino?,"Eccovi qui, finalmente! Ora la festa può iniziare. Che prendete? Champagne? Vino?"
dialogs/4room/start_2,"That’s very kind of you, but we’re on the job, so how about some water?",,"C’est très gentil de votre part, mais nous sommes en train de travailler, alors pourquoi pas un peu d’eau?","Das ist sehr nett von dir, aber wir sind bei der Arbeit, also wie wäre es mit etwas Wasser?","Ay, muchas gracias, pero es que todavía estamos en horario de trabajo... ¿Qué tal un poquito de agua?","È molto gentile da parte tua, ma siamo in servizio. Solo dell'acqua, grazie."
dialogs/4room/start_3,"Aw, ok. Ok. I get it. You gotta work hard before you play hard.",,"Oh, d’accord. D’accord. Je comprends. Il faut travailler dur avant de se la couler douce.","Ah, okay. Okay. Ich verstehe. Erst die Arbeit, dann das Vergnügen.","Ahh, vale. Vale... Ya lo pillo. Hay que trabajar duro para después darlo todo.","Ah, va bene. Okay. Ho capito. Dovete lavorare di brutto prima di potervi divertire di brutto."
dialogs/4room/start_4,"I was right there with you, Jojo, but Danny’s right. I appreciate the warm welcome though.",,"Je comprends votre point de vue, Jojo, mais Danny a raison. J’apprécie cependant l’accueil chaleureux.","Ich war voll auf deiner Seite, Jojo, aber Danny hat Recht. Wir wissen das herzliche Willkommen aber sehr zu schätzen.","Yo soy la primera a la que le gusta más la fiesta que a un tonto un lápiz, pero Danny tiene razón. Gracias por recibirnos así de bien, eso sí.","Ti capisco perfettamente, Jojo, ma Danny ha ragione. Comunque, grazie del caldo benvenuto."
dialogs/4room/start_5,Life’s better when you’re having fun. I’m just trying to spread the party to the whole world.,,La vie est meilleure quand on s’amuse. J’essaie juste de propager la fête dans le monde entier.,"Das Leben ist besser, wenn man Spaß hat. Ich versuche nur, Party auf der ganzen Welt zu verbreiten.",La vida es mucho más divertida cuando te lo pasas bien. Solo intento que el resto del mundo se lo pase igual de bien.,La vita è più bella quando ci si diverte. Cerco solo di diffondere la festa in tutto il mondo.
dialogs/4room/start_6,"The party can start here with a brand new bedroom for you, and then we can talk about spreading it to the rest of the world.",,"La fête peut commencer ici avec votre toute nouvelle chambre à coucher. Ensuite, nous pourrions envisager de la propager dans le reste du monde.","Die Party kann hier mit einem brandneuen Schlafzimmer für dich anfangen, und dann können wir immer noch darüber reden, es auf den Rest der Welt zu übertragen.","Bueno, la fiesta puede empezar aquí mismo, en tu habitación nueva, y después ya podemos ir llevándola al mundo.","Intanto facciamo iniziare la festa da qui, con una camera nuova di zecca. Poi penseremo a diffonderla al resto del mondo."
dialogs/4room/start_7,Sounds good to me. You know the party is wherever I’m at!,,Cela me semble pas mal. Vous savez que la fête se déroule partout où je suis!,"Hört sich gut an. Du solltest wissen: Die Party ist da, wo ich bin!",Me parece bien. ¡Ya sabes que la fiesta va a donde esté yo!,Mi sta bene. Intanto la festa è dove sono io!
dialogs/4room/end_1,You two came through and delivered! This is like a party palace now!,,Vous y êtes parvenus tous les deux! Cela ressemble à un palais des fêtes maintenant!,Ihr zwei habt es geschafft und echt abgeliefert! Das ist jetzt ein richtiger Party-Palast!,"¡Uf, habéis dado en el clavo! ¡Todo un santuario dedicado a la fiesta!",Voi due siete uno spettacolo! Avete realizzato un vero palazzo delle feste!
dialogs/4room/end_2,That means you’ve got to throw a party! What’s the plan?,,Cela signifie que vous devez organiser une fête! Quel est le plan?,"Das bedeutet, dass du eine Party schmeißen musst! Wie lautet der Plan?",¡Ahora hay que darse a la fiesta! ¿Cuál es el plan?,Ciò significa che ora devi fare baldoria! Qual è il piano?
dialogs/4room/end_3,A two-person party with my and my girl. It’s all about her. We can invite other people later.,,Une fête en tête-à-tête avec ma copine. Tout tourne autour d’elle. Nous pourrons inviter d’autres personnes plus tard.,Eine Zwei-Personen-Party mit mir und meinem Schatz. Es dreht sich alles um sie. Wir können später immer noch andere Leute einladen.,Pues una fiestita privada para mi chica y yo. Aquí el centro es ella. Ya invitaremos a más gente otro día.,Una festa a due: io e la mia ragazza. Solo per lei. Poi inviteremo gli altri più tardi.
dialogs/4room/end_4,She’s going to love it. Just keep that disco ball in the garage. It’s not exactly romantic.,,Elle va adorer ça. Pensez à garder cette boule disco dans le garage. Ce n’est pas vraiment romantique.,Sie wird es lieben. Lass die Discokugel bloß in der Garage. Die ist nicht gerade romantisch.,"Le va a encantar. Lo único que hay que hacer es dejar la bola de discoteca en el garaje. Romántica, lo que se dice romántica, no es.",Le piacerà da impazzire. Però tieni quella sfera specchiata in garage. Non è il massimo della romanticheria.
dialogs/4room/end_5,"I’ve trusted you this far, I might as well trust you about that too. No disco ball.",,"Je vous ai fait confiance jusqu’ici, je pourrais tout aussi bien vous croire sur cela aussi. Pas de boule disco.","Ich habe euch so weit vertraut, also sollte ich euch wohl auch in dieser Hinsicht vertrauen. Keine Discokugel.","Confío en vosotros desde hace tiempo, así que me fío también de eso. Nada de bola de discoteca.","Mi sono fidato sino ad ora, quindi lo farò anche per questo. Nessuna sfera specchiata."
dialogs/4room/end_6,"And please, invite us to the wedding when it happens!",,"Et, s’il vous plaît, invitez-nous à votre mariage quand le moment sera venu!","Und bitte, lade uns zur Hochzeit ein, sollte sie stattfinden!","¡Y, por favor, cuando sea la boda, invítanos!","E non dimenticarti di invitarci al matrimonio, quando sarà!"
dialogs/4room/end_7,It might happen sooner than you think now.,,Cela pourrait arriver plus tôt que vous ne le pensez.,"Sie könnte vielleicht früher stattfinden, als du denkst.",Puede que pase antes de lo que creéis.,Forse ora sarà prima di quanto immaginiate.
dialogs/4room/clean_up_1,I like that floor space! This will make a real nice dance floor.,,J’aime cet espace au sol! Il fera une très belle piste de danse.,Mir gefällt diese Bodenfläche! Das wird eine sehr schöne Tanzfläche ergeben.,¡Me gusta este suelo! Creo que va a ser una gran pista de baila.,Mi piace lo spazio sul pavimento! Sarà una pista da ballo perfetta.
dialogs/4room/clean_up_2,It’s not going to stay like this. This is just temporary.,,Ça ne va pas rester ainsi. Ce n’est que temporaire.,Das wird nicht so bleiben. Das ist nur vorübergehend.,"Pero no se va a quedar así, eh. Es solo temporal.",Non resterà così. È una cosa temporanea.
dialogs/4room/clean_up_3,I feel you. Let me just bust out a couple of dance moves first.,,Je vous comprends. Permettez-moi de commencer par quelques pas de danse.,Ich verstehe. Lass mich zuerst ein paar Tanzschritte machen.,Bueno... Al menos déjame dar un par de pasos de baile antes.,Capito. Allora lasciatemi fare un paio di mosse.
dialogs/4room/floor_1,"Forgive me now, because I might spill some paint on these floors. I’m a little bit of an artist.",,"Pardonnez-moi dès maintenant, car je pourrais renverser de la peinture sur ces planchers. J’ai un peu l’âme artistique.","Verzeih mir, aber es könnte sein, dass ich etwas Farbe auf diesen Boden verschütte. Ich bin ein kleiner Künstler.","Me vais a tener que disculpar, porque puede que tire un poco de pintura por el suelo. Es que soy un poco artista.","Devo chiedervi scusa, perché potrei sporcare il pavimento con della pittura. Sono una specie di artista."
dialogs/4room/floor_2,Samesies! What do you paint? Landscapes? Still lifes? Abstract?,,Idem! Que peignez-vous? Des paysages? Des natures mortes? De l’abstrait?,Ich auch! Was malst du so? Landschaften? Standbilder? Abstrakte Bilder?,¡Y yo también! ¿Qué pintas? ¿Paisajes? ¿Bodegones? ¿Arte abstracto?,Come me! Cosa dipingi? Paesaggi? Nature morte? Astratto?
dialogs/4room/floor_3,Portraits of my girlfriend. I only ever paint her. Nothing else compares.,,Des portraits de ma petite-amie. Je ne peins qu’elle. Rien d’autre n’est comparable.,Porträts von meiner Freundin. Ich male immer nur sie. Es gibt nichts Besseres.,"Básicamente, retratos de mi novia. Solo la pinto a ella. No hay nada como ella, vamos.",Ritratti della mia ragazza. Dipingo solo lei. Nient'altro è al suo livello.
dialogs/4room/floor_4,I’m getting butterflies.,,J’en ai des papillons dans le ventre.,Da bekomme ich Schmetterlinge im Bauch.,Ya siento las mariposas en el estómago.,Sento le farfalle nello stomaco.
dialogs/4room/walls_and_ceiling_1,"These walls and ceiling might not be able to contain my party energy, but they sure are dope!",,"Ces murs et ces plafonds pourraient être incapables de contenir mon énergie festive, mais ils sont vraiment excellents!","Diese Wände und die Decke sind vielleicht nicht in der Lage, meine Party-Energie zu halten, aber sie sind definitiv cool!","No creo que estas paredes sean capaces de contener mi alma fiestera, ¡pero molan un montón!","Le pareti e il soffitto forse non riusciranno a contenere la mia energia festaiola, ma sono strafichi!"
dialogs/4room/walls_and_ceiling_2,"I take it you party a lot, Jojo.",,"Je suppose que vous faites souvent la fête, Jojo.","Ich nehme an, du feierst viel, Jojo.","Ya veo que te gusta la fiesta, ¿eh, Jojo?",Mi sembra di capire che fai molta baldoria.
dialogs/4room/walls_and_ceiling_3,Two-person parties with me and my girl. She’s all I need to get the party started.,,Des fêtes en tête-à-tête avec ma petite-amie. Elle est tout ce dont j’ai besoin pour faire la fête.,"Zwei-Personen-Partys mit mir und meinem Schatz. Sie ist alles, was ich brauche, um die Party in Gang zu bringen.","Bueno, mis fiestas preferidas son para dos personas: mi chica y yo. No me hace falta más para que sea la mejor fiesta del mundo.",Solo feste a due: io e la mia ragazza. Non mi serve altro per far iniziare il divertimento.
dialogs/4room/carpet_1,"You seem like a guy who likes to keep things fresh. If you ever want to change up the room, simply switch out the carpet",,"Vous semblez être un gars qui aime casser la routine. Si jamais vous voulez changer de décor dans la pièce, changez simplement le tapis","Du scheinst ein Typ zu sein, der die Dinge gerne auffrischt. Wenn du den Raum jemals umgestalten willst, tausche einfach den Teppich aus.","Me da la impresión de que eres un tipo al que le gusta siempre estar a la última. Si lo que quieres es darle otro aire a la habitación, solo tienes que cambiar la alfombra.",Mi è parso di capire che ti piace avere sempre delle novità in casa. Quando vuoi ridare un nuovo look alla stanza ti basterà cambiare tappeto.
dialogs/4room/carpet_2,"Ah, you know me too well. I always gotta switch it up depending on the vibe. You gotta catch the vibe like a wave.",,"Ah, vous me connaissez trop bien. Je dois toujours le changer en fonction de l’ambiance. Il faut attraper l’ambiance comme une vague.","Ah, du kennst mich zu gut. Ich muss immer verändern, je nach Vibe. Man muss den Vibe einfangen wie eine Welle.","Ay, me tenéis calado. Me encanta cambiar el ambiente según como se tercie la cosa. Hay que estar siempre atentos por si cambia el rollo. Es como una ola, o la coges o la pierdes.","Ah, mi conosci già così bene. Lo cambio sempre a seconda delle mie vibrazioni. Bisogna assecondarle come le onde del mare."
dialogs/4room/carpet_3,I thought I saw a surfboard outside. We are totally going surfing after this.,,Je pensais avoir vu une planche de surf à l’extérieur. Nous allons surfer pour de vrai après ça.,"Ich wusste, dass ich draußen ein Surfbrett gesehen hatte. Wir werden hiernach auf jeden Fall surfen gehen.","Ay, me pareció ver una tabla de surf ahí fuera. En cuanto terminemos por aquí, nos vamos a surfear.",Mi pare di aver visto una tavola da surf. Dopo dobbiamo andare assolutamente a surfare.
dialogs/4room/carpet_4,You’ve never surfed before in your life. Please wear a life jacket.,,Vous n’avez jamais surfé de votre vie avant. Veuillez porter un gilet de sauvetage.,Du hast noch nie in deinem Leben gesurft. Bitte ziehe dir eine Schwimmweste an.,"Pero si nunca has surfeado en tu vida. Lleva un chaleco salvavidas, por favor te lo pido.","Ma se non hai mai surfato in vita tua. Almeno indossa un salvagente, per favore."
dialogs/4room/windows_1,I don’t think I can ever go back to living in the city. Hearing the ocean waves outside is like medicine to my soul.,,Je ne pense pas pouvoir à nouveau retourner vivre en ville. Le bruit des vagues de l’océan à l’extérieur est comme un médicament pour mon âme.,"Ich glaube nicht, dass ich jemals wieder in der Stadt leben kann. Das Rauschen der Meereswellen da draußen ist wie Medizin für meine Seele.",No creo que sea capaz de volver a vivir en la ciudad. Escuchar las olas romper es como mi medicina.,Non credo di poter tornare mai più a vivere in città. Il suono delle onde dell'oceano sono la mia medicina dell'anima.
dialogs/4room/windows_2,You’re really lucky to live so close to it. I can practically smell the seaweed from here.,,Vous avez vraiment de la chance de vivre si près de l’océan. Je peux presque sentir l’odeur des algues d’ici.,"Du hast wirklich Glück, so nah dran zu wohnen. Ich kann den Seetang praktisch von hier aus riechen.",Tienes mucha suerte de vivir cerca de la costa. Casi casi puedo oler las algas.,Sei fortunato a viverci così vicino. Riesco quasi a sentire il profumo delle alghe da qui.
dialogs/4room/windows_3,That actually might be the seaweed salad I ate for lunch.,,C’est peut-être la salade d’algues que j’ai mangée au déjeuner.,"Das könnte der Seetang-Salat sein, den ich zum Mittagessen gegessen habe.",Puede que eso sea la ensalada de algas que me acabo de comer...,Più probabilmente è l'insalata di alghe che ho mangiato a pranzo.
dialogs/4room/curtains_1,"You and your girlfriend seem pretty serious, Jojo. When are you popping the question?",,"Votre petite-amie et vous semblez assez sérieux, Jojo. Quand poserez-vous la question?","Du und deine Freundin scheint es ziemlich ernst zu meinen, Jojo. Wann wirst du ihr die große Frage stellen?","Parece que vais bastante en serio, tu chica y tú, ¿no, Jojo? ¿Cuándo te piensas declarar?","Tu e la tua ragazza sembrate fare sul serio, Jojo. Quando le farai la grande domanda?"
dialogs/4room/curtains_2,Once I save up the $100k for the ring.,,Dès que j’aurais économisé les 100 000 $ nécessaires pour la bague.,Sobald ich die 100.000 $ für den Ring gespart habe.,En cuanto ahorre lo bastante para pillarle un buen anillo.,Quando avrò messo da parte centomila dollari per l'anello.
dialogs/4room/curtains_3,Either you just said the wrong number or your girlfriend is the luckiest girl in the world.,,"Soit vous venez de donner le mauvais chiffre, soit votre petite amie est la fille la plus chanceuse du monde.",Entweder hast du gerade die falsche Zahl gesagt oder deine Freundin ist das glücklichste Mädchen der Welt.,"¡Ay, pero qué romántico! Si al final estás chapado a la antigua.",Ho frainteso il numero o la tua fidanzata è la ragazza più fortunata al mondo?
dialogs/4room/bed_1,"This is where the magic happens! Every night before bed, I read my book on how to become a magician.",,"C’est là que la magie opère! Chaque soir avant de me coucher, je lis mon livre sur comment devenir magicien.","Hier geschieht die Magie! Jeden Abend vor dem Schlafengehen lese ich mein Buch darüber, wie man ein Magier wird.","¡Y aquí es donde la magia se hace realidad! Todas las noches, antes de irme a dormir, me leo mi libro de magia.","È qui che succede la vera magia! Ogni notte, prima di andare a letto, leggo il mio libro per diventare maghi."
